2026-02-15 10:12:18,689 - INFO - Device: cuda
2026-02-15 10:12:18,689 - INFO - Config: {'device': 'cuda', 'lr': 0.1, 'epochs_per_task': 100, 'batch_size': 128, 'lambda_slice': 0.0, 'lambda_feat': 0.0, 'ewc_lambda': 0.0, 'si_lambda': 0.0, 'seed': 42, 'backbone': 'resnet18', 'optimizer': 'sgd', 'weight_decay': 0.0005}
2026-02-15 10:12:18,835 - INFO - ========== Training Task 0: classes [0, 1] ==========
2026-02-15 10:20:22,919 - INFO - [Task 0 | ep 26 | step 2050] loss=0.0411 c=0.0411 r=0.0000 | CI_T0=98.85%
2026-02-15 10:20:31,938 - INFO - [Task 0 | ep 26 | step 2100] loss=0.0703 c=0.0703 r=0.0000 | CI_T0=98.66%
2026-02-15 10:20:44,729 - INFO - [Task 0 | ep 27 | step 2150] loss=0.0078 c=0.0078 r=0.0000 | CI_T0=98.46%
2026-02-15 10:20:57,765 - INFO - [Task 0 | ep 28 | step 2200] loss=0.0127 c=0.0127 r=0.0000 | CI_T0=98.72%
2026-02-15 10:21:06,697 - INFO - [Task 0 | ep 28 | step 2250] loss=0.0228 c=0.0228 r=0.0000 | CI_T0=99.03%
2026-02-15 10:21:19,719 - INFO - [Task 0 | ep 29 | step 2300] loss=0.0652 c=0.0652 r=0.0000 | CI_T0=97.25%
2026-02-15 10:21:32,681 - INFO - [Task 0 | ep 30 | step 2350] loss=0.0209 c=0.0209 r=0.0000 | CI_T0=98.32%
2026-02-15 10:21:41,548 - INFO - [Task 0 | ep 30 | step 2400] loss=0.0322 c=0.0322 r=0.0000 | CI_T0=98.39%
2026-02-15 10:21:54,504 - INFO - [Task 0 | ep 31 | step 2450] loss=0.0173 c=0.0173 r=0.0000 | CI_T0=99.10%
2026-02-15 10:22:07,653 - INFO - [Task 0 | ep 32 | step 2500] loss=0.0440 c=0.0440 r=0.0000 | CI_T0=99.12%
2026-02-15 10:22:16,509 - INFO - [Task 0 | ep 32 | step 2550] loss=0.0347 c=0.0347 r=0.0000 | CI_T0=98.21%
2026-02-15 10:22:29,532 - INFO - [Task 0 | ep 33 | step 2600] loss=0.0149 c=0.0149 r=0.0000 | CI_T0=99.09%
2026-02-15 10:22:38,462 - INFO - [Task 0 | ep 33 | step 2650] loss=0.0370 c=0.0370 r=0.0000 | CI_T0=98.41%
2026-02-15 10:22:51,487 - INFO - [Task 0 | ep 34 | step 2700] loss=0.0420 c=0.0420 r=0.0000 | CI_T0=99.05%
2026-02-15 10:23:04,484 - INFO - [Task 0 | ep 35 | step 2750] loss=0.0873 c=0.0873 r=0.0000 | CI_T0=98.09%
2026-02-15 10:23:13,507 - INFO - [Task 0 | ep 35 | step 2800] loss=0.0199 c=0.0199 r=0.0000 | CI_T0=98.62%
2026-02-15 10:23:26,518 - INFO - [Task 0 | ep 36 | step 2850] loss=0.0559 c=0.0559 r=0.0000 | CI_T0=98.81%
2026-02-15 10:23:39,467 - INFO - [Task 0 | ep 37 | step 2900] loss=0.0088 c=0.0088 r=0.0000 | CI_T0=98.76%
2026-02-15 10:23:48,662 - INFO - [Task 0 | ep 37 | step 2950] loss=0.0043 c=0.0043 r=0.0000 | CI_T0=99.01%
2026-02-15 10:24:01,669 - INFO - [Task 0 | ep 38 | step 3000] loss=0.0487 c=0.0487 r=0.0000 | CI_T0=98.41%
2026-02-15 10:24:14,662 - INFO - [Task 0 | ep 39 | step 3050] loss=0.0365 c=0.0365 r=0.0000 | CI_T0=98.28%
2026-02-15 10:24:23,682 - INFO - [Task 0 | ep 39 | step 3100] loss=0.0197 c=0.0197 r=0.0000 | CI_T0=98.77%
2026-02-15 10:24:36,683 - INFO - [Task 0 | ep 40 | step 3150] loss=0.0199 c=0.0199 r=0.0000 | CI_T0=99.02%
2026-02-15 10:24:49,652 - INFO - [Task 0 | ep 41 | step 3200] loss=0.0572 c=0.0572 r=0.0000 | CI_T0=98.80%
2026-02-15 10:24:58,606 - INFO - [Task 0 | ep 41 | step 3250] loss=0.0254 c=0.0254 r=0.0000 | CI_T0=99.10%
2026-02-15 10:25:11,642 - INFO - [Task 0 | ep 42 | step 3300] loss=0.0209 c=0.0209 r=0.0000 | CI_T0=98.73%
2026-02-15 10:25:20,656 - INFO - [Task 0 | ep 42 | step 3350] loss=0.0652 c=0.0652 r=0.0000 | CI_T0=98.84%
2026-02-15 10:25:33,666 - INFO - [Task 0 | ep 43 | step 3400] loss=0.0641 c=0.0641 r=0.0000 | CI_T0=99.06%
2026-02-15 10:25:46,626 - INFO - [Task 0 | ep 44 | step 3450] loss=0.0223 c=0.0223 r=0.0000 | CI_T0=99.11%
2026-02-15 10:25:55,577 - INFO - [Task 0 | ep 44 | step 3500] loss=0.0418 c=0.0418 r=0.0000 | CI_T0=98.55%
2026-02-15 10:26:08,640 - INFO - [Task 0 | ep 45 | step 3550] loss=0.0298 c=0.0298 r=0.0000 | CI_T0=98.54%
2026-02-15 10:26:21,649 - INFO - [Task 0 | ep 46 | step 3600] loss=0.0342 c=0.0342 r=0.0000 | CI_T0=98.90%
2026-02-15 10:26:30,599 - INFO - [Task 0 | ep 46 | step 3650] loss=0.1245 c=0.1245 r=0.0000 | CI_T0=96.75%
2026-02-15 10:26:43,584 - INFO - [Task 0 | ep 47 | step 3700] loss=0.0207 c=0.0207 r=0.0000 | CI_T0=99.01%
2026-02-15 10:26:56,606 - INFO - [Task 0 | ep 48 | step 3750] loss=0.0268 c=0.0268 r=0.0000 | CI_T0=98.83%
2026-02-15 10:27:05,623 - INFO - [Task 0 | ep 48 | step 3800] loss=0.0450 c=0.0450 r=0.0000 | CI_T0=98.63%
2026-02-15 10:27:18,783 - INFO - [Task 0 | ep 49 | step 3850] loss=0.0286 c=0.0286 r=0.0000 | CI_T0=98.96%
2026-02-15 10:27:31,950 - INFO - [Task 0 | ep 50 | step 3900] loss=0.0451 c=0.0451 r=0.0000 | CI_T0=99.02%
2026-02-15 10:27:40,821 - INFO - [Task 0 | ep 50 | step 3950] loss=0.0117 c=0.0117 r=0.0000 | CI_T0=99.29%
2026-02-15 10:27:53,933 - INFO - [Task 0 | ep 51 | step 4000] loss=0.0376 c=0.0376 r=0.0000 | CI_T0=98.44%
2026-02-15 10:28:02,924 - INFO - [Task 0 | ep 51 | step 4050] loss=0.0122 c=0.0122 r=0.0000 | CI_T0=99.26%
2026-02-15 10:28:15,967 - INFO - [Task 0 | ep 52 | step 4100] loss=0.0237 c=0.0237 r=0.0000 | CI_T0=98.10%
2026-02-15 10:28:28,950 - INFO - [Task 0 | ep 53 | step 4150] loss=0.0486 c=0.0486 r=0.0000 | CI_T0=98.98%
2026-02-15 10:28:38,033 - INFO - [Task 0 | ep 53 | step 4200] loss=0.0276 c=0.0276 r=0.0000 | CI_T0=98.27%
2026-02-15 10:28:51,162 - INFO - [Task 0 | ep 54 | step 4250] loss=0.0176 c=0.0176 r=0.0000 | CI_T0=99.06%
2026-02-15 10:29:04,380 - INFO - [Task 0 | ep 55 | step 4300] loss=0.0414 c=0.0414 r=0.0000 | CI_T0=97.92%
2026-02-15 10:29:13,353 - INFO - [Task 0 | ep 55 | step 4350] loss=0.1059 c=0.1059 r=0.0000 | CI_T0=97.77%
2026-02-15 10:29:26,351 - INFO - [Task 0 | ep 56 | step 4400] loss=0.0241 c=0.0241 r=0.0000 | CI_T0=98.71%
2026-02-15 10:29:39,347 - INFO - [Task 0 | ep 57 | step 4450] loss=0.0355 c=0.0355 r=0.0000 | CI_T0=98.67%
2026-02-15 10:29:48,331 - INFO - [Task 0 | ep 57 | step 4500] loss=0.0373 c=0.0373 r=0.0000 | CI_T0=98.83%
2026-02-15 10:30:01,342 - INFO - [Task 0 | ep 58 | step 4550] loss=0.0134 c=0.0134 r=0.0000 | CI_T0=99.28%
2026-02-15 10:30:10,355 - INFO - [Task 0 | ep 58 | step 4600] loss=0.0190 c=0.0190 r=0.0000 | CI_T0=98.70%
2026-02-15 10:30:23,563 - INFO - [Task 0 | ep 59 | step 4650] loss=0.0137 c=0.0137 r=0.0000 | CI_T0=99.10%
2026-02-15 10:30:36,731 - INFO - [Task 0 | ep 60 | step 4700] loss=0.0229 c=0.0229 r=0.0000 | CI_T0=99.18%
2026-02-15 10:30:45,747 - INFO - [Task 0 | ep 60 | step 4750] loss=0.0615 c=0.0615 r=0.0000 | CI_T0=99.13%
2026-02-15 10:30:58,946 - INFO - [Task 0 | ep 61 | step 4800] loss=0.0457 c=0.0457 r=0.0000 | CI_T0=97.96%
2026-02-15 10:31:12,109 - INFO - [Task 0 | ep 62 | step 4850] loss=0.0500 c=0.0500 r=0.0000 | CI_T0=98.70%
2026-02-15 10:31:21,137 - INFO - [Task 0 | ep 62 | step 4900] loss=0.0404 c=0.0404 r=0.0000 | CI_T0=98.67%
2026-02-15 10:31:34,332 - INFO - [Task 0 | ep 63 | step 4950] loss=0.0159 c=0.0159 r=0.0000 | CI_T0=98.74%
2026-02-15 10:31:47,345 - INFO - [Task 0 | ep 64 | step 5000] loss=0.0184 c=0.0184 r=0.0000 | CI_T0=98.16%
2026-02-15 10:31:56,296 - INFO - [Task 0 | ep 64 | step 5050] loss=0.0151 c=0.0151 r=0.0000 | CI_T0=99.09%
2026-02-15 10:32:09,297 - INFO - [Task 0 | ep 65 | step 5100] loss=0.0821 c=0.0821 r=0.0000 | CI_T0=98.14%
2026-02-15 10:32:22,460 - INFO - [Task 0 | ep 66 | step 5150] loss=0.0398 c=0.0398 r=0.0000 | CI_T0=97.91%
2026-02-15 10:32:31,444 - INFO - [Task 0 | ep 66 | step 5200] loss=0.0176 c=0.0176 r=0.0000 | CI_T0=98.09%
2026-02-15 10:32:44,488 - INFO - [Task 0 | ep 67 | step 5250] loss=0.0481 c=0.0481 r=0.0000 | CI_T0=97.78%
2026-02-15 10:32:53,467 - INFO - [Task 0 | ep 67 | step 5300] loss=0.0273 c=0.0273 r=0.0000 | CI_T0=98.90%
2026-02-15 10:33:06,708 - INFO - [Task 0 | ep 68 | step 5350] loss=0.0326 c=0.0326 r=0.0000 | CI_T0=98.84%
2026-02-15 10:33:19,899 - INFO - [Task 0 | ep 69 | step 5400] loss=0.0053 c=0.0053 r=0.0000 | CI_T0=98.26%
2026-02-15 10:33:28,851 - INFO - [Task 0 | ep 69 | step 5450] loss=0.0349 c=0.0349 r=0.0000 | CI_T0=99.46%
2026-02-15 10:33:41,898 - INFO - [Task 0 | ep 70 | step 5500] loss=0.0403 c=0.0403 r=0.0000 | CI_T0=98.36%
2026-02-15 10:33:55,024 - INFO - [Task 0 | ep 71 | step 5550] loss=0.0311 c=0.0311 r=0.0000 | CI_T0=98.36%
2026-02-15 10:34:04,043 - INFO - [Task 0 | ep 71 | step 5600] loss=0.0125 c=0.0125 r=0.0000 | CI_T0=98.45%
2026-02-15 10:34:17,059 - INFO - [Task 0 | ep 72 | step 5650] loss=0.0462 c=0.0462 r=0.0000 | CI_T0=98.88%
2026-02-15 10:34:30,198 - INFO - [Task 0 | ep 73 | step 5700] loss=0.0158 c=0.0158 r=0.0000 | CI_T0=98.06%
2026-02-15 10:34:39,047 - INFO - [Task 0 | ep 73 | step 5750] loss=0.0315 c=0.0315 r=0.0000 | CI_T0=98.82%
2026-02-15 10:34:52,235 - INFO - [Task 0 | ep 74 | step 5800] loss=0.0380 c=0.0380 r=0.0000 | CI_T0=98.88%
2026-02-15 10:35:05,391 - INFO - [Task 0 | ep 75 | step 5850] loss=0.0140 c=0.0140 r=0.0000 | CI_T0=99.20%
2026-02-15 10:35:14,259 - INFO - [Task 0 | ep 75 | step 5900] loss=0.0273 c=0.0273 r=0.0000 | CI_T0=98.39%
2026-02-15 10:35:27,385 - INFO - [Task 0 | ep 76 | step 5950] loss=0.0105 c=0.0105 r=0.0000 | CI_T0=99.13%
2026-02-15 10:35:36,411 - INFO - [Task 0 | ep 76 | step 6000] loss=0.0144 c=0.0144 r=0.0000 | CI_T0=98.70%
2026-02-15 10:35:49,419 - INFO - [Task 0 | ep 77 | step 6050] loss=0.0102 c=0.0102 r=0.0000 | CI_T0=98.41%
2026-02-15 10:36:02,604 - INFO - [Task 0 | ep 78 | step 6100] loss=0.0413 c=0.0413 r=0.0000 | CI_T0=98.30%
2026-02-15 10:36:11,416 - INFO - [Task 0 | ep 78 | step 6150] loss=0.0321 c=0.0321 r=0.0000 | CI_T0=98.43%
2026-02-15 10:36:24,603 - INFO - [Task 0 | ep 79 | step 6200] loss=0.0234 c=0.0234 r=0.0000 | CI_T0=98.58%
2026-02-15 10:36:37,829 - INFO - [Task 0 | ep 80 | step 6250] loss=0.0051 c=0.0051 r=0.0000 | CI_T0=99.00%
2026-02-15 10:36:46,795 - INFO - [Task 0 | ep 80 | step 6300] loss=0.0350 c=0.0350 r=0.0000 | CI_T0=99.06%
2026-02-15 10:36:59,798 - INFO - [Task 0 | ep 81 | step 6350] loss=0.0164 c=0.0164 r=0.0000 | CI_T0=98.27%
2026-02-15 10:37:12,983 - INFO - [Task 0 | ep 82 | step 6400] loss=0.0655 c=0.0655 r=0.0000 | CI_T0=99.19%
2026-02-15 10:37:21,974 - INFO - [Task 0 | ep 82 | step 6450] loss=0.0252 c=0.0252 r=0.0000 | CI_T0=98.22%
2026-02-15 10:37:35,183 - INFO - [Task 0 | ep 83 | step 6500] loss=0.0182 c=0.0182 r=0.0000 | CI_T0=99.08%
2026-02-15 10:37:44,142 - INFO - [Task 0 | ep 83 | step 6550] loss=0.0189 c=0.0189 r=0.0000 | CI_T0=98.61%
2026-02-15 10:37:57,169 - INFO - [Task 0 | ep 84 | step 6600] loss=0.0295 c=0.0295 r=0.0000 | CI_T0=97.79%
2026-02-15 10:38:10,175 - INFO - [Task 0 | ep 85 | step 6650] loss=0.0379 c=0.0379 r=0.0000 | CI_T0=99.16%
2026-02-15 10:38:19,140 - INFO - [Task 0 | ep 85 | step 6700] loss=0.0160 c=0.0160 r=0.0000 | CI_T0=92.60%
2026-02-15 10:38:32,386 - INFO - [Task 0 | ep 86 | step 6750] loss=0.0463 c=0.0463 r=0.0000 | CI_T0=97.97%
2026-02-15 10:38:45,386 - INFO - [Task 0 | ep 87 | step 6800] loss=0.0611 c=0.0611 r=0.0000 | CI_T0=96.93%
2026-02-15 10:38:54,356 - INFO - [Task 0 | ep 87 | step 6850] loss=0.0231 c=0.0231 r=0.0000 | CI_T0=99.23%
2026-02-15 10:39:07,355 - INFO - [Task 0 | ep 88 | step 6900] loss=0.0462 c=0.0462 r=0.0000 | CI_T0=97.66%
2026-02-15 10:39:20,501 - INFO - [Task 0 | ep 89 | step 6950] loss=0.0215 c=0.0215 r=0.0000 | CI_T0=99.04%
2026-02-15 10:39:29,480 - INFO - [Task 0 | ep 89 | step 7000] loss=0.0347 c=0.0347 r=0.0000 | CI_T0=99.06%
2026-02-15 10:39:42,694 - INFO - [Task 0 | ep 90 | step 7050] loss=0.0315 c=0.0315 r=0.0000 | CI_T0=98.93%
2026-02-15 10:39:55,889 - INFO - [Task 0 | ep 91 | step 7100] loss=0.0505 c=0.0505 r=0.0000 | CI_T0=98.74%
2026-02-15 10:40:04,897 - INFO - [Task 0 | ep 91 | step 7150] loss=0.0223 c=0.0223 r=0.0000 | CI_T0=95.41%
2026-02-15 10:40:18,099 - INFO - [Task 0 | ep 92 | step 7200] loss=0.0153 c=0.0153 r=0.0000 | CI_T0=99.22%
2026-02-15 10:40:27,140 - INFO - [Task 0 | ep 92 | step 7250] loss=0.0095 c=0.0095 r=0.0000 | CI_T0=99.00%
2026-02-15 10:40:40,305 - INFO - [Task 0 | ep 93 | step 7300] loss=0.0419 c=0.0419 r=0.0000 | CI_T0=99.29%
2026-02-15 10:40:53,326 - INFO - [Task 0 | ep 94 | step 7350] loss=0.0083 c=0.0083 r=0.0000 | CI_T0=98.98%
2026-02-15 10:41:02,301 - INFO - [Task 0 | ep 94 | step 7400] loss=0.0227 c=0.0227 r=0.0000 | CI_T0=99.00%
2026-02-15 10:41:15,528 - INFO - [Task 0 | ep 95 | step 7450] loss=0.0369 c=0.0369 r=0.0000 | CI_T0=98.22%
2026-02-15 10:41:28,537 - INFO - [Task 0 | ep 96 | step 7500] loss=0.0259 c=0.0259 r=0.0000 | CI_T0=98.96%
2026-02-15 10:41:37,484 - INFO - [Task 0 | ep 96 | step 7550] loss=0.0384 c=0.0384 r=0.0000 | CI_T0=99.01%
2026-02-15 10:41:50,465 - INFO - [Task 0 | ep 97 | step 7600] loss=0.0142 c=0.0142 r=0.0000 | CI_T0=99.04%
2026-02-15 10:42:03,499 - INFO - [Task 0 | ep 98 | step 7650] loss=0.0409 c=0.0409 r=0.0000 | CI_T0=98.76%
2026-02-15 10:42:12,474 - INFO - [Task 0 | ep 98 | step 7700] loss=0.0144 c=0.0144 r=0.0000 | CI_T0=99.20%
2026-02-15 10:42:25,674 - INFO - [Task 0 | ep 99 | step 7750] loss=0.0089 c=0.0089 r=0.0000 | CI_T0=98.72%
2026-02-15 10:42:37,457 - INFO - [After Task 0] Task-IL : T0=97.40% | Avg=97.40%
2026-02-15 10:42:37,457 - INFO - [After Task 0] Class-IL: T0=97.40% | Avg=97.40%
