0.397000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.067000	0.331000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.045000	0.011000	0.400000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.062000	0.003000	0.023000	0.338000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.029000	0.005000	0.004000	0.038000	0.416000	0.000000	0.000000	0.000000	0.000000	0.000000
0.003000	0.000000	0.001000	0.000000	0.021000	0.388000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
